:Data_List:  NOAAMgII.dat version 9.1
:Created:  2001 April 24
:Updated:  Daily
# The NOAA Mg II daily Index version 9.1
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center
# Please send comments and questions to Lawrence.Puga@noaa.gov or
# Rodney.Viereck@noaa.gov.
#
# Metadata:
# Year Month Day and Date in UTC
# MgII Core-to-wing ratio (no units)
# Data Source:
#     0 - No data (-999.0)
#     1 - NOAA TIROS and NOAA 9
#     2 - NOAA 11
#     3 - NOAA 9 (Alternate Algorithm)
#     4 - UARS SOLSTICE
#     5 - GOME Data
#     6 - NOAA 16
#
# Acknowledgements:  Tom Woods (CU LASP), Gary Rottman (CU LASP), and
# Giuliana de Toma (NCAR, HAO) for the SOLSTICE data.
# Mark Weber (U. Bremen, Germany) for the GOME data.
#
# The Mg II core-to-wing ratio is derived by taking the ratio of the h and
# k lines of the solar Mg II feature at 280 nm to the background or wings at
# approximately 278 nm and 282 nm.  The h and k lines are variable chromospheric
# emissions while the background emissions are more stable.  The result is a
# robust measure of chromospheric activity.  This ratio has been shown to be
# a good measure of solar UV and EUV emissions.
#
# Each of the data sets was scaled to the original NOAA TIROS NOAA 9 data
# set with a linear fit of the overlapping data.  The nature of the Mg II
# core-to-wing ratio and the quality of the data resulted in linear
# correlation coefficients between 0.98 and 0.999.
#
# References:
# Viereck and Puga, The NOAA Mg II core-to-wing solar index:
#   Construction of a 20-year time series of chromospheric variability from
#   multiple satellites., JGR, 104, pp9995-10005, May 1999.
# Viereck et al., The Mg II Index: A proxy for Solar EUV., GRL, 28,
#   pp1343-1346, April 2001.
#
#
# UTC Date and Time
#
# Year Month Day Date   MgII   Source
#------------------------------------
 1978 12 15 12/15/1978  -999.0   0
 1978 12 16 12/16/1978  0.2761   1
 1978 12 17 12/17/1978  0.2720   1
 1978 12 18 12/18/1978  0.2742   1
 1978 12 19 12/19/1978  0.2732   1
 1978 12 20 12/20/1978  0.2730   1
 1978 12 21 12/21/1978  0.2694   1
 1978 12 22 12/22/1978  0.2709   1
 1978 12 23 12/23/1978  -999.0   0
 1978 12 24 12/24/1978  0.2721   1
 1978 12 25 12/25/1978  0.2739   1
 1978 12 26 12/26/1978  0.2749   1
 1978 12 27 12/27/1978  -999.0   0
 1978 12 28 12/28/1978  0.2776   1
 1978 12 29 12/29/1978  0.2789   1
 1978 12 30 12/30/1978  0.2795   1
 1978 12 31 12/31/1978  -999.0   0
 1979  1 01  1/01/1979  0.2810   1
 1979  1 02  1/02/1979  0.2814   1
 1979  1 03  1/03/1979  0.2824   1
 1979  1 04  1/04/1979  -999.0   0
 1979  1 05  1/05/1979  0.2819   1
 1979  1 06  1/06/1979  0.2804   1
 1979  1 07  1/07/1979  0.2815   1
 1979  1 08  1/08/1979  -999.0   0
 1979  1 09  1/09/1979  0.2812   1
 1979  1 10  1/10/1979  0.2801   1
 1979  1 11  1/11/1979  -999.0   0
 1979  1 12  1/12/1979  0.2801   1
 1979  1 13  1/13/1979  0.2804   1
 1979  1 14  1/14/1979  0.2795   1
 1979  1 15  1/15/1979  0.2788   1
 1979  1 16  1/16/1979  -999.0   0
 1979  1 17  1/17/1979  -999.0   0
 1979  1 18  1/18/1979  0.2767   1
 1979  1 19  1/19/1979  0.2765   1
 1979  1 20  1/20/1979  -999.0   0
 1979  1 21  1/21/1979  0.2787   1
 1979  1 22  1/22/1979  -999.0   0
 1979  1 23  1/23/1979  0.2813   1
 1979  1 24  1/24/1979  0.2823   1
 1979  1 25  1/25/1979  0.2825   1
 1979  1 26  1/26/1979  -999.0   0
 1979  1 27  1/27/1979  0.2811   1
 1979  1 28  1/28/1979  0.2803   1
 1979  1 29  1/29/1979  0.2797   1
 1979  1 30  1/30/1979  0.2803   1
 1979  1 31  1/31/1979  0.2798   1
 1979  2 01  2/01/1979  -999.0   0
 1979  2 02  2/02/1979  0.2815   1
 1979  2 03  2/03/1979  0.2827   1
 1979  2 04  2/04/1979  0.2827   1
 1979  2 05  2/05/1979  0.2833   1
 1979  2 06  2/06/1979  -999.0   0
 1979  2 07  2/07/1979  0.2838   1
 1979  2 08  2/08/1979  0.2843   1
 1979  2 09  2/09/1979  -999.0   0
 1979  2 10  2/10/1979  0.2820   1
 1979  2 11  2/11/1979  0.2805   1
 1979  2 12  2/12/1979  0.2804   1
 1979  2 13  2/13/1979  -999.0   0
 1979  2 14  2/14/1979  0.2794   1
 1979  2 15  2/15/1979  0.2801   1
 1979  2 16  2/16/1979  0.2806   1
 1979  2 17  2/17/1979  0.2820   1
 1979  2 18  2/18/1979  -999.0   0
 1979  2 19  2/19/1979  0.2837   1
 1979  2 20  2/20/1979  0.2833   1
 1979  2 21  2/21/1979  -999.0   0
 1979  2 22  2/22/1979  0.2808   1
 1979  2 23  2/23/1979  0.2800   1
 1979  2 24  2/24/1979  0.2787   1
 1979  2 25  2/25/1979  -999.0   0
 1979  2 26  2/26/1979  0.2779   1
 1979  2 27  2/27/1979  0.2789   1
 1979  2 28  2/28/1979  0.2796   1
 1979  3 01  3/01/1979  0.2802   1
 1979  3 02  3/02/1979  0.2822   1
 1979  3 03  3/03/1979  0.2828   1
 1979  3 04  3/04/1979  0.2831   1
 1979  3 05  3/05/1979  -999.0   0
 1979  3 06  3/06/1979  0.2827   1
 1979  3 07  3/07/1979  0.2823   1
 1979  3 08  3/08/1979  0.2815   1
 1979  3 09  3/09/1979  -999.0   0
 1979  3 10  3/10/1979  0.2803   1
 1979  3 11  3/11/1979  -999.0   0
 1979  3 12  3/12/1979  0.2816   1
 1979  3 13  3/13/1979  0.2817   1
 1979  3 14  3/14/1979  0.2821   1
 1979  3 15  3/15/1979  0.2826   1
 1979  3 16  3/16/1979  -999.0   0
 1979  3 17  3/17/1979  -999.0   0
 1979  3 18  3/18/1979  0.2834   1
 1979  3 19  3/19/1979  0.2828   1
 1979  3 20  3/20/1979  0.2816   1
 1979  3 21  3/21/1979  -999.0   0
 1979  3 22  3/22/1979  0.2804   1
 1979  3 23  3/23/1979  -999.0   0
 1979  3 24  3/24/1979  0.2803   1
 1979  3 25  3/25/1979  0.2801   1
 1979  3 26  3/26/1979  0.2803   1
 1979  3 27  3/27/1979  0.2810   1
 1979  3 28  3/28/1979  0.2812   1
 1979  3 29  3/29/1979  0.2827   1
 1979  3 30  3/30/1979  0.2835   1
 1979  3 31  3/31/1979  0.2849   1
 1979  4 01  4/01/1979  0.2850   1
 1979  4 02  4/02/1979  0.2846   1
 1979  4 03  4/03/1979  0.2839   1
 1979  4 04  4/04/1979  0.2815   1
 1979  4 05  4/05/1979  -999.0   0
 1979  4 06  4/06/1979  0.2778   1
 1979  4 07  4/07/1979  0.2773   1
 1979  4 08  4/08/1979  0.2769   1
 1979  4 09  4/09/1979  0.2764   1
 1979  4 10  4/10/1979  0.2770   1
 1979  4 11  4/11/1979  0.2776   1
 1979  4 12  4/12/1979  -999.0   0
 1979  4 13  4/13/1979  0.2811   1
 1979  4 14  4/14/1979  -999.0   0
 1979  4 15  4/15/1979  -999.0   0
 1979  4 16  4/16/1979  0.2808   1
 1979  4 17  4/17/1979  0.2799   1
 1979  4 18  4/18/1979  0.2784   1
 1979  4 19  4/19/1979  0.2772   1
 1979  4 20  4/20/1979  0.2754   1
 1979  4 21  4/21/1979  0.2749   1
 1979  4 22  4/22/1979  -999.0   0
 1979  4 23  4/23/1979  0.2746   1
 1979  4 24  4/24/1979  -999.0   0
 1979  4 25  4/25/1979  -999.0   0
 1979  4 26  4/26/1979  -999.0   0
 1979  4 27  4/27/1979  0.2812   1
 1979  4 28  4/28/1979  0.2820   1
 1979  4 29  4/29/1979  0.2815   1
 1979  4 30  4/30/1979  -999.0   0
 1979  5 01  5/01/1979  0.2809   1
 1979  5 02  5/02/1979  0.2798   1
 1979  5 03  5/03/1979  0.2781   1
 1979  5 04  5/04/1979  -999.0   0
 1979  5 05  5/05/1979  -999.0   0
 1979  5 06  5/06/1979  0.2769   1
 1979  5 07  5/07/1979  0.2772   1
 1979  5 08  5/08/1979  -999.0   0
 1979  5 09  5/09/1979  0.2796   1
 1979  5 10  5/10/1979  0.2813   1
 1979  5 11  5/11/1979  0.2816   1
 1979  5 12  5/12/1979  -999.0   0
 1979  5 13  5/13/1979  0.2826   1
 1979  5 14  5/14/1979  0.2823   1
 1979  5 15  5/15/1979  0.2819   1
 1979  5 16  5/16/1979  0.2804   1
 1979  5 17  5/17/1979  0.2788   1
 1979  5 18  5/18/1979  0.2773   1
 1979  5 19  5/19/1979  0.2766   1
 1979  5 20  5/20/1979  -999.0   0
 1979  5 21  5/21/1979  -999.0   0
 1979  5 22  5/22/1979  0.2759   1
 1979  5 23  5/23/1979  -999.0   0
 1979  5 24  5/24/1979  -999.0   0
 1979  5 25  5/25/1979  0.2804   1
 1979  5 26  5/26/1979  0.2802   1
 1979  5 27  5/27/1979  0.2796   1
 1979  5 28  5/28/1979  -999.0   0
 1979  5 29  5/29/1979  -999.0   0
 1979  5 30  5/30/1979  0.2783   1
 1979  5 31  5/31/1979  0.2776   1
 1979  6 01  6/01/1979  -999.0   0
 1979  6 02  6/02/1979  0.2787   1
 1979  6 03  6/03/1979  0.2800   1
 1979  6 04  6/04/1979  0.2825   1
 1979  6 05  6/05/1979  -999.0   0
 1979  6 06  6/06/1979  0.2840   1
 1979  6 07  6/07/1979  0.2858   1
 1979  6 08  6/08/1979  -999.0   0
 1979  6 09  6/09/1979  -999.0   0
 1979  6 10  6/10/1979  0.2831   1
 1979  6 11  6/11/1979  0.2809   1
 1979  6 12  6/12/1979  0.2797   1
 1979  6 13  6/13/1979  -999.0   0
 1979  6 14  6/14/1979  0.2769   1
 1979  6 15  6/15/1979  0.2760   1
 1979  6 16  6/16/1979  0.2760   1
 1979  6 17  6/17/1979  -999.0   0
 1979  6 18  6/18/1979  0.2761   1
 1979  6 19  6/19/1979  0.2756   1
 1979  6 20  6/20/1979  -999.0   0
 1979  6 21  6/21/1979  -999.0   0
 1979  6 22  6/22/1979  0.2775   1
 1979  6 23  6/23/1979  0.2769   1
 1979  6 24  6/24/1979  -999.0   0
 1979  6 25  6/25/1979  -999.0   0
 1979  6 26  6/26/1979  0.2774   1
 1979  6 27  6/27/1979  0.2781   1
 1979  6 28  6/28/1979  -999.0   0
 1979  6 29  6/29/1979  -999.0   0
 1979  6 30  6/30/1979  -999.0   0
 1979  7 01  7/01/1979  0.2801   1
 1979  7 02  7/02/1979  0.2826   1
 1979  7 03  7/03/1979  -999.0   0
 1979  7 04  7/04/1979  0.2851   1
 1979  7 05  7/05/1979  0.2857   1
 1979  7 06  7/06/1979  -999.0   0
 1979  7 07  7/07/1979  -999.0   0
 1979  7 08  7/08/1979  0.2836   1
 1979  7 09  7/09/1979  0.2821   1
 1979  7 10  7/10/1979  0.2797   1
 1979  7 11  7/11/1979  -999.0   0
 1979  7 12  7/12/1979  0.2772   1
 1979  7 13  7/13/1979  0.2760   1
 1979  7 14  7/14/1979  0.2745   1
 1979  7 15  7/15/1979  -999.0   0
 1979  7 16  7/16/1979  0.2743   1
 1979  7 17  7/17/1979  0.2748   1
 1979  7 18  7/18/1979  -999.0   0
 1979  7 19  7/19/1979  -999.0   0
 1979  7 20  7/20/1979  0.2762   1
 1979  7 21  7/21/1979  0.2767   1
 1979  7 22  7/22/1979  0.2760   1
 1979  7 23  7/23/1979  -999.0   0
 1979  7 24  7/24/1979  -999.0   0
 1979  7 25  7/25/1979  0.2762   1
 1979  7 26  7/26/1979  0.2778   1
 1979  7 27  7/27/1979  -999.0   0
 1979  7 28  7/28/1979  0.2791   1
 1979  7 29  7/29/1979  0.2784   1
 1979  7 30  7/30/1979  0.2794   1
 1979  7 31  7/31/1979  -999.0   0
 1979  8 01  8/01/1979  0.2791   1
 1979  8 02  8/02/1979  0.2780   1
 1979  8 03  8/03/1979  0.2783   1
 1979  8 04  8/04/1979  -999.0   0
 1979  8 05  8/05/1979  0.2763   1
 1979  8 06  8/06/1979  0.2764   1
 1979  8 07  8/07/1979  -999.0   0
 1979  8 08  8/08/1979  -999.0   0
 1979  8 09  8/09/1979  0.2765   1
 1979  8 10  8/10/1979  0.2768   1
 1979  8 11  8/11/1979  0.2769   1
 1979  8 12  8/12/1979  -999.0   0
 1979  8 13  8/13/1979  0.2771   1
 1979  8 14  8/14/1979  0.2773   1
 1979  8 15  8/15/1979  0.2778   1
 1979  8 16  8/16/1979  -999.0   0
 1979  8 17  8/17/1979  0.2775   1
 1979  8 18  8/18/1979  0.2780   1
 1979  8 19  8/19/1979  0.2787   1
 1979  8 20  8/20/1979  -999.0   0
 1979  8 21  8/21/1979  -999.0   0
 1979  8 22  8/22/1979  0.2814   1
 1979  8 23  8/23/1979  0.2821   1
 1979  8 24  8/24/1979  -999.0   0
 1979  8 25  8/25/1979  0.2825   1
 1979  8 26  8/26/1979  0.2826   1
 1979  8 27  8/27/1979  0.2822   1
 1979  8 28  8/28/1979  -999.0   0
 1979  8 29  8/29/1979  0.2815   1
 1979  8 30  8/30/1979  0.2808   1
 1979  8 31  8/31/1979  0.2799   1
 1979  9 01  9/01/1979  -999.0   0
 1979  9 02  9/02/1979  0.2782   1
 1979  9 03  9/03/1979  0.2778   1
 1979  9 04  9/04/1979  -999.0   0
 1979  9 05  9/05/1979  -999.0   0
 1979  9 06  9/06/1979  -999.0   0
 1979  9 07  9/07/1979  0.2793   1
 1979  9 08  9/08/1979  0.2791   1
 1979  9 09  9/09/1979  -999.0   0
 1979  9 10  9/10/1979  -999.0   0
 1979  9 11  9/11/1979  -999.0   0
 1979  9 12  9/12/1979  0.2794   1
 1979  9 13  9/13/1979  -999.0   0
 1979  9 14  9/14/1979  -999.0   0
 1979  9 15  9/15/1979  0.2801   1
 1979  9 16  9/16/1979  0.2801   1
 1979  9 17  9/17/1979  -999.0   0
 1979  9 18  9/18/1979  0.2812   1
 1979  9 19  9/19/1979  0.2829   1
 1979  9 20  9/20/1979  0.2828   1
 1979  9 21  9/21/1979  -999.0   0
 1979  9 22  9/22/1979  0.2841   1
 1979  9 23  9/23/1979  0.2848   1
 1979  9 24  9/24/1979  0.2852   1
 1979  9 25  9/25/1979  -999.0   0
 1979  9 26  9/26/1979  0.2850   1
 1979  9 27  9/27/1979  0.2834   1
 1979  9 28  9/28/1979  0.2813   1
 1979  9 29  9/29/1979  -999.0   0
 1979  9 30  9/30/1979  0.2793   1
 1979 10 01 10/01/1979  0.2789   1
 1979 10 02 10/02/1979  -999.0   0
 1979 10 03 10/03/1979  -999.0   0
 1979 10 04 10/04/1979  0.2786   1
 1979 10 05 10/05/1979  0.2791   1
 1979 10 06 10/06/1979  0.2797   1
 1979 10 07 10/07/1979  -999.0   0
 1979 10 08 10/08/1979  0.2799   1
 1979 10 09 10/09/1979  -999.0   0
 1979 10 10 10/10/1979  0.2811   1
 1979 10 11 10/11/1979  -999.0   0
 1979 10 12 10/12/1979  0.2810   1
 1979 10 13 10/13/1979  0.2829   1
 1979 10 14 10/14/1979  0.2832   1
 1979 10 15 10/15/1979  -999.0   0
 1979 10 16 10/16/1979  0.2854   1
 1979 10 17 10/17/1979  0.2861   1
 1979 10 18 10/18/1979  0.2867   1
 1979 10 19 10/19/1979  -999.0   0
 1979 10 20 10/20/1979  -999.0   0
 1979 10 21 10/21/1979  -999.0   0
 1979 10 22 10/22/1979  0.2859   1
 1979 10 23 10/23/1979  -999.0   0
 1979 10 24 10/24/1979  0.2832   1
 1979 10 25 10/25/1979  0.2812   1
 1979 10 26 10/26/1979  0.2810   1
 1979 10 27 10/27/1979  -999.0   0
 1979 10 28 10/28/1979  0.2801   1
 1979 10 29 10/29/1979  0.2805   1
 1979 10 30 10/30/1979  0.2813   1
 1979 10 31 10/31/1979  -999.0   0
 1979 11 01 11/01/1979  0.2828   1
 1979 11 02 11/02/1979  0.2831   1
 1979 11 03 11/03/1979  -999.0   0
 1979 11 04 11/04/1979  -999.0   0
 1979 11 05 11/05/1979  0.2835   1
 1979 11 06 11/06/1979  0.2854   1
 1979 11 07 11/07/1979  -999.0   0
 1979 11 08 11/08/1979  -999.0   0
 1979 11 09 11/09/1979  0.2876   1
 1979 11 10 11/10/1979  -999.0   0
 1979 11 11 11/11/1979  0.2902   1
 1979 11 12 11/12/1979  -999.0   0
 1979 11 13 11/13/1979  0.2894   1
 1979 11 14 11/14/1979  0.2892   1
 1979 11 15 11/15/1979  -999.0   0
 1979 11 16 11/16/1979  -999.0   0
 1979 11 17 11/17/1979  0.2866   1
 1979 11 18 11/18/1979  -999.0   0
 1979 11 19 11/19/1979  0.2834   1
 1979 11 20 11/20/1979  -999.0   0
 1979 11 21 11/21/1979  0.2796   1
 1979 11 22 11/22/1979  0.2786   1
 1979 11 23 11/23/1979  0.2780   1
 1979 11 24 11/24/1979  -999.0   0
 1979 11 25 11/25/1979  0.2773   1
 1979 11 26 11/26/1979  0.2772   1
 1979 11 27 11/27/1979  0.2775   1
 1979 11 28 11/28/1979  -999.0   0
 1979 11 29 11/29/1979  0.2763   1
 1979 11 30 11/30/1979  0.2766   1
 1979 12 01 12/01/1979  0.2771   1
 1979 12 02 12/02/1979  -999.0   0
 1979 12 03 12/03/1979  -999.0   0
 1979 12 04 12/04/1979  0.2812   1
 1979 12 05 12/05/1979  0.2834   1
 1979 12 06 12/06/1979  0.2837   1
 1979 12 07 12/07/1979  -999.0   0
 1979 12 08 12/08/1979  0.2875   1
 1979 12 09 12/09/1979  0.2890   1
 1979 12 10 12/10/1979  -999.0   0
 1979 12 11 12/11/1979  0.2899   1
 1979 12 12 12/12/1979  0.2910   1
 1979 12 13 12/13/1979  0.2904   1
 1979 12 14 12/14/1979  -999.0   0
 1979 12 15 12/15/1979  0.2864   1
 1979 12 16 12/16/1979  0.2847   1
 1979 12 17 12/17/1979  0.2823   1
 1979 12 18 12/18/1979  -999.0   0
 1979 12 19 12/19/1979  0.2777   1
 1979 12 20 12/20/1979  -999.0   0
 1979 12 21 12/21/1979  0.2757   1
 1979 12 22 12/22/1979  -999.0   0
 1979 12 23 12/23/1979  0.2746   1
 1979 12 24 12/24/1979  0.2749   1
 1979 12 25 12/25/1979  0.2751   1
 1979 12 26 12/26/1979  -999.0   0
 1979 12 27 12/27/1979  -999.0   0
 1979 12 28 12/28/1979  0.2754   1
 1979 12 29 12/29/1979  0.2774   1
 1979 12 30 12/30/1979  -999.0   0
 1979 12 31 12/31/1979  0.2804   1
 1980  1 01  1/01/1980  0.2813   1
 1980  1 02  1/02/1980  -999.0   0
 1980  1 03  1/03/1980  -999.0   0
 1980  1 04  1/04/1980  0.2854   1
 1980  1 05  1/05/1980  -999.0   0
 1980  1 06  1/06/1980  0.2881   1
 1980  1 07  1/07/1980  -999.0   0
 1980  1 08  1/08/1980  -999.0   0
 1980  1 09  1/09/1980  0.2872   1
 1980  1 10  1/10/1980  0.2870   1
 1980  1 11  1/11/1980  -999.0   0
 1980  1 12  1/12/1980  0.2868   1
 1980  1 13  1/13/1980  0.2851   1
 1980  1 14  1/14/1980  -999.0   0
 1980  1 15  1/15/1980  -999.0   0
 1980  1 16  1/16/1980  0.2801   1
 1980  1 17  1/17/1980  0.2797   1
 1980  1 18  1/18/1980  0.2792   1
 1980  1 19  1/19/1980  -999.0   0
 1980  1 20  1/20/1980  0.2764   1
 1980  1 21  1/21/1980  0.2753   1
 1980  1 22  1/22/1980  0.2761   1
 1980  1 23  1/23/1980  -999.0   0
 1980  1 24  1/24/1980  0.2762   1
 1980  1 25  1/25/1980  0.2757   1
 1980  1 26  1/26/1980  0.2757   1
 1980  1 27  1/27/1980  -999.0   0
 1980  1 28  1/28/1980  0.2774   1
 1980  1 29  1/29/1980  0.2801   1
 1980  1 30  1/30/1980  0.2806   1
 1980  1 31  1/31/1980  -999.0   0
 1980  2 01  2/01/1980  0.2844   1
 1980  2 02  2/02/1980  0.2846   1
 1980  2 03  2/03/1980  0.2854   1
 1980  2 04  2/04/1980  -999.0   0
 1980  2 05  2/05/1980  0.2850   1
 1980  2 06  2/06/1980  0.2838   1
 1980  2 07  2/07/1980  0.2837   1
 1980  2 08  2/08/1980  -999.0   0
 1980  2 09  2/09/1980  0.2806   1
 1980  2 10  2/10/1980  0.2794   1
 1980  2 11  2/11/1980  0.2791   1
 1980  2 12  2/12/1980  -999.0   0
 1980  2 13  2/13/1980  0.2804   1
 1980  2 14  2/14/1980  0.2803   1
 1980  2 15  2/15/1980  0.2807   1
 1980  2 16  2/16/1980  -999.0   0
 1980  2 17  2/17/1980  0.2809   1
 1980  2 18  2/18/1980  0.2803   1
 1980  2 19  2/19/1980  0.2793   1
 1980  2 20  2/20/1980  -999.0   0
 1980  2 21  2/21/1980  0.2778   1
 1980  2 22  2/22/1980  0.2761   1
 1980  2 23  2/23/1980  -999.0   0
 1980  2 24  2/24/1980  -999.0   0
 1980  2 25  2/25/1980  -999.0   0
 1980  2 26  2/26/1980  0.2766   1
 1980  2 27  2/27/1980  0.2790   1
 1980  2 28  2/28/1980  -999.0   0
 1980  2 29  2/29/1980  0.2826   1
 1980  3 01  3/01/1980  0.2824   1
 1980  3 02  3/02/1980  0.2825   1
 1980  3 03  3/03/1980  -999.0   0
 1980  3 04  3/04/1980  0.2816   1
 1980  3 05  3/05/1980  0.2810   1
 1980  3 06  3/06/1980  0.2800   1
 1980  3 07  3/07/1980  -999.0   0
 1980  3 08  3/08/1980  0.2774   1
 1980  3 09  3/09/1980  0.2768   1
 1980  3 10  3/10/1980  0.2768   1
 1980  3 11  3/11/1980  -999.0   0
 1980  3 12  3/12/1980  0.2773   1
 1980  3 13  3/13/1980  -999.0   0
 1980  3 14  3/14/1980  0.2774   1
 1980  3 15  3/15/1980  -999.0   0
 1980  3 16  3/16/1980  0.2763   1
 1980  3 17  3/17/1980  0.2770   1
 1980  3 18  3/18/1980  0.2765   1
 1980  3 19  3/19/1980  -999.0   0
 1980  3 20  3/20/1980  0.2776   1
 1980  3 21  3/21/1980  0.2771   1
 1980  3 22  3/22/1980  0.2778   1
 1980  3 23  3/23/1980  -999.0   0
 1980  3 24  3/24/1980  0.2789   1
 1980  3 25  3/25/1980  0.2806   1
 1980  3 26  3/26/1980  0.2824   1
 1980  3 27  3/27/1980  -999.0   0
 1980  3 28  3/28/1980  0.2845   1
 1980  3 29  3/29/1980  0.2842   1
 1980  3 30  3/30/1980  0.2841   1
 1980  3 31  3/31/1980  -999.0   0
 1980  4 01  4/01/1980  0.2815   1
 1980  4 02  4/02/1980  0.2797   1
 1980  4 03  4/03/1980  0.2776   1
 1980  4 04  4/04/1980  0.2770   1
 1980  4 05  4/05/1980  0.2767   1
 1980  4 06  4/06/1980  -999.0   0
 1980  4 07  4/07/1980  0.2778   1
 1980  4 08  4/08/1980  -999.0   0
 1980  4 09  4/09/1980  0.2797   1
 1980  4 10  4/10/1980  0.2807   1
 1980  4 11  4/11/1980  0.2821   1
 1980  4 12  4/12/1980  -999.0   0
 1980  4 13  4/13/1980  0.2829   1
 1980  4 14  4/14/1980  0.2826   1
 1980  4 15  4/15/1980  0.2818   1
 1980  4 16  4/16/1980  -999.0   0
 1980  4 17  4/17/1980  0.2801   1
 1980  4 18  4/18/1980  0.2800   1
 1980  4 19  4/19/1980  0.2813   1
 1980  4 20  4/20/1980  -999.0   0
 1980  4 21  4/21/1980  0.2821   1
 1980  4 22  4/22/1980  0.2816   1
 1980  4 23  4/23/1980  -999.0   0
 1980  4 24  4/24/1980  -999.0   0
 1980  4 25  4/25/1980  0.2820   1
 1980  4 26  4/26/1980  0.2824   1
 1980  4 27  4/27/1980  0.2816   1
 1980  4 28  4/28/1980  -999.0   0
 1980  4 29  4/29/1980  0.2795   1
 1980  4 30  4/30/1980  0.2781   1
 1980  5 01  5/01/1980  0.2793   1
 1980  5 02  5/02/1980  -999.0   0
 1980  5 03  5/03/1980  0.2794   1
 1980  5 04  5/04/1980  0.2807   1
 1980  5 05  5/05/1980  0.2816   1
 1980  5 06  5/06/1980  -999.0   0
 1980  5 07  5/07/1980  0.2818   1
 1980  5 08  5/08/1980  0.2823   1
 1980  5 09  5/09/1980  0.2834   1
 1980  5 10  5/10/1980  -999.0   0
 1980  5 11  5/11/1980  -999.0   0
 1980  5 12  5/12/1980  -999.0   0
 1980  5 13  5/13/1980  0.2792   1
 1980  5 14  5/14/1980  -999.0   0
 1980  5 15  5/15/1980  0.2807   1
 1980  5 16  5/16/1980  0.2815   1
 1980  5 17  5/17/1980  -999.0   0
